Number,Start Time,End Time,Duration,Symbol Duration,TTS Symbol Duration,TTS Speed Closest,Speaker,Text,gen_error,whisper_text,subtitle_text
1,"00:00:00,031","00:00:03,476",3.445,0.04532894736842105,0.04503703703703704,2.1,voice_standart,"Here, in the east, the equipment does not last long because of the fighting.",0,here in the east the equipment does not last long because of the fighting,here in the east the equipment does not last long because of the fighting
2,"00:00:03,657","00:00:06,801",3.144,0.07311627906976745,0.06687830687830687,1.4,voice_standart,It often needs major repairs and new parts.,0,it often needs major repairs and new parts,it often needs major repairs and new parts
3,"00:00:07,202","00:00:13,792",6.59,0.06398058252427184,0.06052910052910053,1.6,voice_standart,Masters of the 80th Brigade's repair company restore both damaged armored vehicles and weapons to life.,0,masters of the 80th brigade's repair company restore both damaged armored vehicles and weapons to life,masters of the 80th brigade's repair company restore both damaged armored vehicles and weapons to life
4,"00:00:13,952","00:00:15,375",1.423,0.035575,0.037671957671957676,2.5,voice_standart,This is a section of the repair company.,0,this is a section of the repair company,this is a section of the repair company
5,"00:00:16,056","00:00:17,378",1.322,0.06295238095238095,0.06052910052910053,1.6,voice_standart,What are your duties?,0,what are your duties,what are your duties
6,"00:00:17,598","00:00:23,507",5.909,0.10551785714285714,0.09989417989417988,0.9,voice_standart,"Restoration, repair of weapons equipment, which is on...",0,restoration repair of weapons equipment which is on,restoration repair of weapons equipment which is on
7,"00:00:23,487","00:00:25,750",2.263,0.06116216216216216,0.06052910052910053,1.6,voice_standart,on the register of the military unit.,0,on the register of the military unit,on the register of the military unit
8,"00:00:25,830","00:00:30,336",4.506,0.08046428571428572,0.07923809523809523,1.2,voice_standart,What is the most common range of tasks you perform here?,0,what is the most common range of tasks you perform here,what is the most common range of tasks you perform here
9,"00:00:30,356","00:00:31,237",0.881,0.03830434782608696,0.037671957671957676,2.5,voice_standart,What kind of equipment?,0,what kind of equipment,what kind of equipment
10,"00:00:31,317","00:00:33,079",1.762,0.0550625,0.052910052910052914,1.8,voice_standart,Or all the equipment in general?,0,or all the equipment in general,or all the equipment in general
11,"00:00:33,195","00:00:34,817",1.622,0.06007407407407408,0.05621164021164021,1.7,voice_standart,All the equipment. Various.,1,various,all the equipment various
12,"00:00:35,081","00:00:40,890",5.809,0.09845762711864407,0.09142857142857143,1.0,voice_standart,"Starts with cars provided by volunteers, units, battalions.",0,starts with cars provided by volunteers units battalions,starts with cars provided by volunteers units battalions
13,"00:00:41,290","00:00:46,757",5.467,0.19524999999999998,0.188021164021164,0.5,voice_standart,He closes it all with tanks.,1,he closes it with tanks,he closes it all with tanks
14,"00:00:46,777","00:00:50,061",3.284,0.09122222222222222,0.08389417989417988,1.1,voice_standart,And what's the most difficult stage?,0,and what's the most difficult stage,and what's the most difficult stage
15,"00:00:50,162","00:00:51,283",1.121,0.140125,0.12808465608465608,0.7,voice_standart,Weapons.,0,weapons,weapons
16,"00:00:51,263","00:00:53,505",2.242,0.050954545454545454,0.050539682539682544,1.9,voice_standart,There is an experienced gunsmith in Remroth.,0,there is an experienced gunsmith in remroth,there is an experienced gunsmith in remroth
17,"00:00:53,525","00:00:58,790",5.265,0.058499999999999996,0.05621164021164021,1.7,voice_standart,"Vitaaliiy is proficient with various calibers, from pistols to large-caliber machine guns.",1,vitaly is proficient with various calibers from pistols to large caliber machine guns,vitaaliiy is proficient with various calibers from pistols to large caliber machine guns
18,"00:00:58,971","00:01:02,154",3.183,0.054879310344827584,0.052910052910052914,1.8,voice_standart,Neighboring brigades bring their weapons to us for repair.,0,neighboring brigades bring their weapons to us for repair,neighboring brigades bring their weapons to us for repair
19,"00:01:02,174","00:01:06,658",4.484,0.07473333333333333,0.07365079365079365,1.3,voice_standart,They have no gunsmiths who have repaired weapons for anyone.,0,they have no gunsmiths who have repaired weapons for anyone,they have no gunsmiths who have repaired weapons for anyone
20,"00:01:06,678","00:01:09,581",2.903,0.08538235294117646,0.08389417989417988,1.1,voice_standart,"Here, in this case, it's an MG-42.",1,here in this case it's an mg42,here in this case it's an mg 42
21,"00:01:10,262","00:01:19,331",9.069,0.1133625,0.11284656084656085,0.8,voice_standart,"We collect MG-42s and MG-53s from Lihoslav, which we also have in our household.",1,we collect mg 42s and mg 53s from lioslav which we also have in our household,we collect mg 42s and mg 53s from lihoslav which we also have in our household
22,"00:01:19,351","00:01:20,832",1.481,0.04936666666666667,0.04723809523809524,2.0,voice_standart,We are currently under repair.,0,we are currently under repair,we are currently under repair
23,"00:01:21,014","00:01:32,320",11.306,0.07066249999999999,0.06687830687830687,1.4,voice_standart,"To cut out a complicated part for a foreign grenade launcher or weld the hull of a trophy APC, local craftsmen take on the most difficult orders from the front.",1,to cut out a complicated part for a foreign grenade launcher or weld the hole of a trophy apc local craftsmen take on the most difficult orders from the front,to cut out a complicated part for a foreign grenade launcher or weld the hull of a trophy apc local craftsmen take on the most difficult orders from the front
24,"00:01:32,660","00:01:34,264",1.604,0.05346666666666667,0.052910052910052914,1.8,voice_standart,They say they can do anything.,0,they say they can do anything,they say they can do anything
25,"00:01:45,145","00:01:52,540",7.395,0.11204545454545455,0.09989417989417988,0.9,voice_standart,Military television also made a small contribution to our victory.,0,military television also made a small contribution to our victory,military television also made a small contribution to our victory
